Order_ID,Customer_ID,Order_Date,Year,Month,Day,Day_Of_Week,Quarter,Customer_Age,Customer_Gender,Country,City,Customer_Segment,Product_ID,Product_Category,Product_Subcategory,Brand,Unit_Price,Quantity,Discount_Percent,Discount_Amount,Coupon_Used,Shipping_Cost,Tax_Amount,Order_Amount,Payment_Method,Device_Type,Traffic_Source,Membership_Status,Shipping_Method,Warehouse_Region,Delivery_Days,Order_Status,Returned,Review_Rating,Customer_Lifetime_Value,Profit_Margin_Percent,Profit_Amount,Season,Holiday_Season,High_Value_Order
626704,CUST006862,04/20/2023,2023,4,20,Thursday,2,19,Female,France,Riyadh,Loyal,PROD00090,Home & Kitchen,Appliances,QuickCart,183.88,5,15,137.91,Yes,12.28,61.7,855.47, CASH ON DELIVERY  ,Desktop,Email,Standard,Standard,North,5,Delivered,No,4.6,4340.33,15.54,132.94,Spring,No,Yes
626253,CUST002657,2025-12-24,2025,12,24,Wednesday,4,23,Male,Canada,Paris,New,PROD01789, Electronics  ,Accessories,ValueMax,535.57,3,10,160.67,Yes,8.04,188.67,1642.75,PayPal,Desktop,Referral,Silver,Pickup,South,7,Delivered,No,3.8,9418.53,23.49,385.88,Winter,Yes,Yes
603980,CUST008000,2026-02-12,2026,2,12,Thursday,1,53,Male,UAE, Toronto  ,Loyal,PROD00661,Fashion,Bags,Trendify,124.72,6,10,74.83,Yes,7.8,79.02,760.31,PAYPAL,Desktop,Referral,Standard,Standard,East,7,Processing,No,4.4,6406.35,19.54,148.56,Winter,No,Yes
617461,CUST000821,2026-05-03,2026,5,3,Sunday,2,36,Male,Pakistan,Berlin,Loyal,PROD00369,SPORTS,Fitness,PrimePlus,106.68,4,10,42.67,Yes,22.44,29.65,436.14,Bank Transfer,Mobile,Referral,Standard,Same Day,South,1,Delivered,No,4.4,2014.69,13.51,58.92,Spring,No,Yes
623620,CUST005377,2023-05-07,2023,5,7,Sunday,2,33,Female,UAE, New York  ,New,PROD01140, Electronics  ,Mobile,PrimePlus,353.61,5,10,176.8,Yes,9.43,137.94,1738.62,WALLET,Tablet,Direct,Silver,Standard,East,7,Delivered,No,4.3,28643.19,19.12,332.42,Spring,No,Yes
629401,CUST003571,02/15/2024,2024,2,15,Thursday,1,31,Male,France,toronto,Returning,PROD00952,GROCERIES,Dairy,UrbanCo,20.61,3,20,12.37,Yes,8.21,3.47,61.14, Wallet  ,Mobile,Social Media,Gold,Standard,North,5,Shipped,No,5.0,448.5,9.94,6.08,Winter,No,No
612845,CUST003547,09/06/2023,2023,9,6,Wednesday,3,48,Female,Germany,Karachi,Returning,PROD01143, Home & Kitchen  ,Furniture,Apex,69.74,4,5,13.95,No,3.89,26.27,295.17, CREDIT CARD  ,Mobile,Paid Ads,Standard,Standard,West,2,Delivered,No,4.4,2435.51,25.55,75.42,Autumn,No,No
612695,CUST007802,11-Jan-2024,2024,1,11,Thursday,1,34,Female,UAE,Mumbai,Loyal,PROD01227,Books,Fiction,UrbanCo,19.76,1,15,2.96,Yes,0.0,2.04,18.84,Wallet,Mobile,Email,Platinum,Standard,Central,4,Shipped,No,4.5,732.1,16.39,3.09,Winter,No,No
615608,CUST001491,02-Jul-2024,2024,7,2,Tuesday,3,25,Male,Germany, Paris  ,New,PROD01104,Groceries,Fresh Produce,UrbanCo,16.36,2,0,0.0,No,15.7,1.92,50.34, Wallet  ,Mobile,Organic Search,Standard,Express,Central,1,Shipped,No,4.3,1013.28,21.92,11.03,Summer,No,No
614929,CUST006832,2025-07-15,2025,7,15,Tuesday,3,41,Male,Germany, toronto  ,New,PROD01411,Sports,Equipment,ValueMax,28.44,4,10,11.38,Yes,25.41,13.46,141.25, Credit Card  ,Mobile,Referral,Silver,Same Day,North,2,Delivered,No,4.4,1565.1,10.57,14.93,Summer,No,No
